# protools/abhack/attrTabCompletion.txt is a list of ABL attribute and methods to use on TAB in Seb's AppBuilder Hack
# lines that begins with '#' are ignored
# This file is reloaded each time you recheck its corresponding toggle-box





MOUSE-POINTER               FILL-IN,FRAME,BROWSE,BROWSE-COLUMN,EDITOR,WINDOW,BUTTON,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,TOGGLE-BOX,DIALOG-BOX,MENU,MENU-ITEM,SUB-MENU
MOVABLE                     FILL-IN,FRAME,BROWSE,BROWSE-COLUMN,EDITOR,BUTTON,RECTANGLE,IMAGE,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TEXT,TOGGLE-BOX
MOVE-AFTER-TAB-ITEM()       FILL-IN,BROWSE,EDITOR,BUTTON,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,TOGGLE-BOX
MOVE-BEFORE-TAB-ITEM()      FILL-IN,BROWSE,EDITOR,BUTTON,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,TOGGLE-BOX
MOVE-COLUMN()               BROWSE
MOVE-TO-BOTTOM()            FILL-IN,FRAME,BROWSE,EDITOR,WINDOW,BUTTON,RECTANGLE,IMAGE,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TEXT,TOGGLE-BOX
MOVE-TO-TOP()               FILL-IN,FRAME,BROWSE,EDITOR,WINDOW,BUTTON,RECTANGLE,IMAGE,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TEXT,TOGGLE-BOX
MULTIPLE                    BROWSE,SELECTION-LIST,CLIPBOARD
MULTITASKING-INTERVAL       SESSION
NAME                        FILL-IN,BUFFER,BUFFER-FIELD,TEMP-TABLE,FRAME,BROWSE,BROWSE-COLUMN,EDITOR,WINDOW,BUTTON,RECTANGLE,IMAGE,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TEXT,TOGGLE-BOX,DIALOG-BOX,MENU,MENU-ITEM,SUB-MENU,QUERY,X-DOCUMENT,X-NODEREF
