LAST-CHILD                  FRAME,WINDOW,DIALOG-BOX,MENU,SUB-MENU,SESSION
LAST-OBJECT                 SESSION
LAST-OF()                   QUERY
LAST-PROCEDURE              SESSION
LAST-SERVER                 SESSION
LAST-SERVER-SOCKET          SESSION
LAST-SOCKET                 SESSION
LENGTH                      EDITOR
LIST-ITEM-PAIRS             SELECTION-LIST
LIST-ITEMS                  SELECTION-LIST,COMBO-BOX
LITERAL-QUESTION            BUFFER-FIELD
LOAD()                      X-DOCUMENT
LOAD-IMAGE()                BUTTON,IMAGE
LOAD-MOUSE-POINTER()        FILL-IN,FRAME,BROWSE,BROWSE-COLUMN,EDITOR,WINDOW,BUTTON,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,TOGGLE-BOX,DIALOG-BOX,MENU,MENU-ITEM,SUB-MENU
LOCATOR-COLUMN-NUMBER       SAX-READER
LOCATOR-LINE-NUMBER         SAX-READER
LOCATOR-PUBLIC-ID           SAX-READER
LOCATOR-SYSTEM-ID           SAX-READER
LOCKED                      BUFFER
LOOKUP()                    BROWSE-COLUMN,SELECTION-LIST,COMBO-BOX
MANDATORY                   BUFFER-FIELD
MANUAL-HIGHLIGHT            FILL-IN,FRAME,BROWSE,EDITOR,BUTTON,RECTANGLE,IMAGE,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TEXT,TOGGLE-BOX
MAX-DATA-GUESS              BROWSE
MAX-HEIGHT-CHARS            WINDOW
MAX-HEIGHT-PIXELS           WINDOW
MAX-WIDTH-CHARS             WINDOW
MAX-WIDTH-PIXELS            WINDOW
MENU-BAR                    WINDOW
MENU-KEY                    FILL-IN,FRAME,BROWSE,EDITOR,WINDOW,BUTTON,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TOGGLE-BOX,DIALOG-BOX
MENU-MOUSE                  FILL-IN,FRAME,BROWSE,EDITOR,WINDOW,BUTTON,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TOGGLE-BOX,DIALOG-BOX
MERGE-CHANGES()             BUFFER,DATASET
MERGE-ROW-CHANGES()         BUFFER
MIN-COLUMN-WIDTH-CHARS      BROWSE
MIN-COLUMN-WIDTH-PIXELS     BROWSE
MIN-HEIGHT-CHARS            BROWSE,WINDOW
MIN-HEIGHT-PIXELS           WINDOW
MIN-WIDTH-CHARS             WINDOW
MIN-WIDTH-PIXELS            WINDOW
mm                          
mm:ss                       
MODIFIED                    FILL-IN,BROWSE,BROWSE-COLUMN,EDITOR,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,TEXT,TOGGLE-BOX
MOUSE-POINTER               FILL-IN,FRAME,BROWSE,BROWSE-COLUMN,EDITOR,WINDOW,BUTTON,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,TOGGLE-BOX,DIALOG-BOX,MENU,MENU-ITEM,SUB-MENU
MOVABLE                     FILL-IN,FRAME,BROWSE,BROWSE-COLUMN,EDITOR,BUTTON,RECTANGLE,IMAGE,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TEXT,TOGGLE-BOX
MOVE-AFTER-TAB-ITEM()       FILL-IN,FRAME,BROWSE,EDITOR,BUTTON,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,TOGGLE-BOX
MOVE-BEFORE-TAB-ITEM()      FILL-IN,FRAME,BROWSE,EDITOR,BUTTON,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,TOGGLE-BOX
MOVE-COLUMN()               BROWSE
MOVE-TO-BOTTOM()            FILL-IN,FRAME,BROWSE,EDITOR,WINDOW,BUTTON,RECTANGLE,IMAGE,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TEXT,TOGGLE-BOX
MOVE-TO-TOP()               FILL-IN,FRAME,BROWSE,EDITOR,WINDOW,BUTTON,RECTANGLE,IMAGE,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TEXT,TOGGLE-BOX
MULTI-COMPILE               COMPILER
MULTIPLE                    BROWSE,SELECTION-LIST,CLIPBOARD
MULTITASKING-INTERVAL       SESSION
NAME                        FILL-IN,BUFFER,BUFFER-FIELD,TEMP-TABLE,PROCEDURE,FRAME,BROWSE,BROWSE-COLUMN,EDITOR,WINDOW,BUTTON,RECTANGLE,IMAGE,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TEXT,TOGGLE-BOX,DIALOG-BOX,MENU,MENU-ITEM,SUB-MENU,QUERY,X-DOCUMENT,X-NODEREF,DATA-SOURCE,DATASET,DATA-RELATION
